[01:15:40] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[01:15:40] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[01:15:41] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[01:15:41] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-139, y=65, z=111}
[01:15:41] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-138, y=64, z=112}]
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[01:15:42] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-138, y=64, z=112}]
[01:23:55] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-139, y=65, z=111}
[01:23:58] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-138, y=64, z=112}]
[01:23:58] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-138, y=64, z=112}]
[01:26:05] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Spawning merchant at BlockPos{x=-30, y=76, z=253}
[01:26:54] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
[01:26:56] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME6 [BlockPos{x=-163, y=64, z=130}]
